session_id,date,start,end,hall,venue_key,place,track,track_curator,kind,title,speaker_keys,speaker_slugs,organizer_key
g8-2026-e033,2026-09-11,13:40,14:20,Центр Внутри,хлебозавод №9,Хлебозавод,Медиаарт,Анна Смирнова,disc,Дискуссия: Multimedia perestroyka. Рынок мультимедиа в эпоху AGI: что происходит и что нас ждёт?,анна смирнова; максим козлов; александр ус; андрей тубольцев; иван нефёдкин,anna-smirnova; maksim-kozlov; aleksandr-us; andrei-tuboltsev; ivan-nefedkin,g8
g8-2026-e035,2026-09-11,14:40,15:00,Центр Внутри,хлебозавод №9,Хлебозавод,Компьютерная графика,Влад Ткачук,talk,"Что делать, если денег стало меньше?",вадим белов,vadim-belov,g8
g8-2026-e036,2026-09-11,15:00,15:20,Центр Внутри,хлебозавод №9,Хлебозавод,Компьютерная графика,Влад Ткачук,talk,Как мы в Жи-Ши делаем проекты для души,артём щербаков,artem-scherbakov,g8
g8-2026-e037,2026-09-11,15:20,15:40,Центр Внутри,хлебозавод №9,Хлебозавод,Компьютерная графика,Влад Ткачук,talk,Снять нельзя сгенерировать: где поставить запятую в современном продакшне,эрадж нидоев; анастасия тулумджан,eradzh-nidoev; anastasiya-tulumdzhan,g8
g8-2026-e038,2026-09-11,15:40,16:00,Центр Внутри,хлебозавод №9,Хлебозавод,Компьютерная графика,Влад Ткачук,talk,Режиссерский код. Вайбкод в продакшне: автоматизация на реальных задачах,женя редкэпп,zhenya-redkepp,g8
g8-2026-e039,2026-09-11,16:00,16:20,Центр Внутри,хлебозавод №9,Хлебозавод,Компьютерная графика,Влад Ткачук,talk,Красивую картинку теперь делает каждый. Что дальше?,святослав деньгин; александра дубинина,svyatoslav-dengin; aleksandra-dubinina,g8
g8-2026-e041,2026-09-11,16:40,17:10,Центр Внутри,хлебозавод №9,Хлебозавод,Дизайн интерьера,Степан Бугаев,disc,Дискуссия: Дизайнер уходит — что остается?,степан бугаев; сергей трегубов; лиза жолтая,stepan-bugaev; sergei-tregubov; liza-zholtaya,g8
g8-2026-e042,2026-09-11,17:10,17:30,Центр Внутри,хлебозавод №9,Хлебозавод,Дизайн интерьера,Степан Бугаев,talk,Что останется после дизайнера,степан бугаев,stepan-bugaev,g8
g8-2026-e043,2026-09-11,17:30,17:50,Центр Внутри,хлебозавод №9,Хлебозавод,Дизайн интерьера,Степан Бугаев,talk,"ПРОДУКТ. Больше, чем дизайн",лиза жолтая,liza-zholtaya,g8
g8-2026-e044,2026-09-11,17:50,18:10,Центр Внутри,хлебозавод №9,Хлебозавод,Дизайн интерьера,Степан Бугаев,talk,ПОСЛЕ WOW. Новая глава дизайна. Когда главным результатом дизайна становится человеческий опыт,сергей трегубов,sergei-tregubov,g8
