name,entity_key,slug,profile_url,in_afisha_graph,has_profile_page,sessions,role,sections,halls,session_ids
Рома Цикада,рома цикада,roma-tsikada,https://www.design-events.fun/speaker/roma-tsikada,0,0,1,генеральный директор агентства Phygital.team,ИИ,Бойлерная,e024
Роман Ступин,роман ступин,roman-stupin,https://www.design-events.fun/speaker/roman-stupin,0,0,1,Бюро,Клуб,Лекторий,e135
Рустам Мосафир,рустам мосафир,rustam-mosafir,https://www.design-events.fun/speaker/rustam-mosafir,0,0,1,"режиссёр, сценарист и актёр",Кино,Котельная,e069
Саша Ковальский,саша ковальский,sasha-kovalskii,https://www.design-events.fun/speaker/sasha-kovalskii,0,0,1,дизайн-директор CreativePeople,Дизайн,Бойлерная,e012
Святослав Деньгин,святослав деньгин,svyatoslav-dengin,https://www.design-events.fun/speaker/svyatoslav-dengin,0,0,1,"сооснователь Interstellar Production, продакшн-директор",Компьютерная графика,Центр Внутри,e039
ТРАВМА,травма,travma,https://www.design-events.fun/speaker/travma,0,0,1,артист,Музыка,Simple Music,e094
Татьяна Эшназарова,татьяна эшназарова,tatyana-eshnazarova,https://www.design-events.fun/speaker/tatyana-eshnazarova,0,0,1,главный редактор AdIndex.ru,Медиа,Котельная,e053
Тигран Бежанов,тигран бежанов,tigran-bezhanov,https://www.design-events.fun/speaker/tigran-bezhanov,0,0,1,режиссёр,Big Picture,Лекторий,e131
Тимур Исмаев,тимур исмаев,timur-ismaev,https://www.design-events.fun/speaker/timur-ismaev,0,0,1,,Клуб,Лекторий,e139
Федор Савельев,федор савельев,fedor-savelev,https://www.design-events.fun/speaker/fedor-savelev,0,0,1,художник-постановщик,Big Picture,Лекторий,e131
Эльбрус Такулов,эльбрус такулов,elbrus-takulov,https://www.design-events.fun/speaker/elbrus-takulov,0,0,1,основатель издания СорокаМедиа,Медиа,Котельная,e059
Эльвина Абибуллаева,эльвина абибуллаева,elvina-abibullaeva,https://www.design-events.fun/speaker/elvina-abibullaeva,0,0,1,фаундер и генеральный директор медиа «Щука» (PIKE),Медиа,Котельная,e059
Эрадж Нидоев,эрадж нидоев,eradzh-nidoev,https://www.design-events.fun/speaker/eradzh-nidoev,0,0,1,"режиссер, креативный директор AI-направления Filmway Production",Компьютерная графика,Центр Внутри,e037
Юлия Белая,юлия белая,yuliya-belaya,https://www.design-events.fun/speaker/yuliya-belaya,0,0,1,модератор; PRD JAMI LUP,Блогеры,Simple Music,e105
Юлия Фролова-Митирева,юлия фролова-митирева,yuliya-frolova-mitireva,https://www.design-events.fun/speaker/yuliya-frolova-mitireva,0,0,1,стилист,Big Picture,Лекторий,e131
Юрий Наумов,юрий наумов,yurii-naumov,https://www.design-events.fun/speaker/yurii-naumov,0,0,1,"генеральный креативный продюсер, BAR creative agency",Бюро Глагол,Simple Music,e096
