name,entity_key,slug,profile_url,in_afisha_graph,has_profile_page,sessions,role,sections,halls,session_ids
Андрей Цыпер,андрей цыпер,andrei-tsyper,https://www.design-events.fun/speaker/andrei-tsyper,0,0,1,исполнительный директор по медиа Rambler&Co,Медиа,Котельная,e065
Анна Зайцева,анна зайцева,anna-zaitseva,https://www.design-events.fun/speaker/anna-zaitseva,1,0,1,CEO и партнёр REDDAY,REDDAY,Гостиная,e107
Анна Левант,анна левант,anna-levant,https://www.design-events.fun/speaker/anna-levant,0,0,1,,Клуб,Лекторий,e136
Анна Смирнова,анна смирнова,anna-smirnova,https://www.design-events.fun/speaker/anna-smirnova,0,0,1,"модератор; куратор и руководитель Generative Gallery, искусствовед и арт-менеджер",Медиаарт,Центр Внутри,e033
Антон Черногоров,антон черногоров,anton-chernogorov,https://www.design-events.fun/speaker/anton-chernogorov,1,0,1,основатель студии Работяги,Дизайн,Бойлерная,e013
Аня Коновалова,аня коновалова,anya-konovalova,https://www.design-events.fun/speaker/anya-konovalova,0,0,1,руководитель группы маркома Авито Услуги,Big Picture,Лекторий,e129
Аня Никич,аня никич,anya-nikich,https://www.design-events.fun/speaker/anya-nikich,0,0,1,креативный директор Яндекс Еда,Big Picture,Лекторий,e132
Арам Даниелян,арам даниелян,aram-danielyan,https://www.design-events.fun/speaker/aram-danielyan,0,0,1,директор по маркетингу S&P Records,Музыка,Simple Music,e092
Артем Полянский,артем полянский,artem-polyanskii,https://www.design-events.fun/speaker/artem-polyanskii,0,0,1,основатель и CEO We Are Magnets,ИИ,Бойлерная,e026
Артём Кондратенко,артём кондратенко,artem-kondratenko,https://www.design-events.fun/speaker/artem-kondratenko,0,0,1,"руководитель группы закупок ивентов, мерча, дизайна и контента Яндекс",REDDAY,Гостиная,e116
Артём Минасян,артём минасян,artem-minasyan,https://www.design-events.fun/speaker/artem-minasyan,0,0,1,"генеральный директор, сооснователь YEP Event Agency",REDDAY,Гостиная,e113
Артём Царегородцев,артём царегородцев,artem-tsaregorodtsev,https://www.design-events.fun/speaker/artem-tsaregorodtsev,0,0,1,сооснователь и креативный директор Zebra Hero,Реклама,Бойлерная,e018
Артём Щербаков,артём щербаков,artem-scherbakov,https://www.design-events.fun/speaker/artem-scherbakov,0,0,1,"креативный директор, режиссер ZHEESHEE",Компьютерная графика,Центр Внутри,e036
Борис Альхимович,борис альхимович,boris-alhimovich,https://www.design-events.fun/speaker/boris-alhimovich,0,0,1,"сооснователь REDDAY и фестиваля предпринимателей Атланты Сити, генеральный продюсер GEF",REDDAY,Гостиная,e128
Борис Шилин,борис шилин,boris-shilin,https://www.design-events.fun/speaker/boris-shilin,1,1,1,основатель бюро Щёлочь,Дизайн,Бойлерная,e009
Вадим Белов,вадим белов,vadim-belov,https://www.design-events.fun/speaker/vadim-belov,0,0,1,"основатель, руководитель It's alive",Компьютерная графика,Центр Внутри,e035
Вася Губин,вася губин,vasya-gubin,https://www.design-events.fun/speaker/vasya-gubin,0,0,1,"креативный директор «Родной Речи», режиссёр",Big Picture,Лекторий,e132
Виктор Донюков,виктор донюков,viktor-donyukov,https://www.design-events.fun/speaker/viktor-donyukov,0,0,1,,Клуб,Лекторий,e137
Виктория Бутикова,виктория бутикова,viktoriya-butikova,https://www.design-events.fun/speaker/viktoriya-butikova,0,0,1,руководитель направления закупок маркетинговых услуг Альфа Банк,REDDAY,Гостиная,e116
